event_id,cv_fold,is_anomaly
1,1,1
2,2,1
3,5,1
4,5,1
5,3,1
6,4,1
7,2,1
8,4,1
9,1,1
10,5,0
11,1,1
12,5,1
13,2,1
14,1,1
15,5,0
16,3,0
17,2,1
18,1,1
19,5,1
20,4,1
21,1,0
22,5,1
23,2,0
24,4,0
25,5,1
26,2,1
27,3,1
28,4,1
29,1,1
30,2,0
31,5,1
32,2,1
33,5,1
34,3,1
35,2,1
36,5,1
37,1,1
38,4,1
39,3,1
40,5,1
41,3,1
42,4,1
43,1,1
44,2,1
45,4,1
46,4,1
47,3,1
48,5,1
49,3,0
50,5,1
51,4,1
52,2,1
53,1,1
54,4,1
55,2,1
56,5,1
57,2,1
58,5,1
59,4,1
60,2,1
61,4,1
62,1,1
63,4,1
64,4,1
65,3,1
66,5,1
67,3,1
68,5,1
69,1,1
70,2,0
71,1,1
72,1,1
73,4,1
74,5,1
75,3,1
76,4,1
77,2,0
78,2,1
79,1,1
80,3,0
81,5,1
82,1,1
83,3,1
84,2,1
85,4,1
86,2,1
87,2,1
88,5,1
89,3,1
90,3,1
91,1,1
92,4,1
93,1,1
94,2,1
95,1,1
96,2,1
97,4,1
98,5,1
99,1,1
100,5,1
101,5,1
102,3,1
103,5,1
104,2,1
105,3,1
106,4,1
107,5,1
108,4,1
109,1,1
110,1,1
111,1,1
112,5,1
113,3,1
114,4,1
115,2,1
116,4,1
117,5,1
118,2,1
119,1,1
120,5,1
121,5,1
122,2,1
123,1,1
124,3,1
125,2,0
126,1,1
127,4,1
128,3,1
129,1,1
130,4,1
131,2,1
132,1,1
133,2,0
134,4,1
135,4,1
136,4,1
137,2,1
138,3,1
139,1,1
140,5,0
141,2,1
142,1,1
143,2,1
144,5,1
145,5,1
146,5,0
147,3,1
148,4,1
149,3,1
150,1,1
151,1,1
152,4,1
153,5,1
154,1,0
155,1,1
156,4,1
157,5,1
158,4,0
159,2,1
160,2,1
161,2,1
162,1,1
163,4,1
164,1,1
165,5,1
166,2,1
167,5,1
168,4,1
169,4,1
170,2,0
171,2,1
172,3,1
173,4,1
174,5,1
175,2,1
176,3,1
177,1,1
178,5,1
179,1,1
180,3,1
181,5,1
182,3,1
183,3,1
184,1,1
185,1,1
186,4,1
187,4,0
188,2,1
189,3,1
190,5,1
191,5,1
192,3,1
193,2,1
194,5,1
195,3,0
196,2,1
197,5,1
198,4,1
199,4,0
200,5,1
201,3,0
202,5,1
203,4,1
204,4,1
205,1,1
206,2,1
207,4,0
208,4,1
209,3,1
210,3,1
211,4,1
212,5,1
213,1,1
214,5,1
215,4,1
216,5,1
217,1,1
218,3,0
219,5,1
220,1,1
221,5,1
222,1,1
223,4,1
224,2,1
225,1,1
226,4,0
227,4,1
228,3,1
229,2,1
230,2,1
231,2,1
232,1,1
233,1,1
234,4,1
235,4,0
236,4,1
237,2,1
238,2,1
239,5,1
240,4,1
241,1,1
242,2,1
243,5,1
244,5,1
245,4,1
246,1,1
247,1,1
248,3,1
249,3,1
250,3,1
251,2,1
252,1,1
253,2,0
254,5,0
255,4,1
256,5,1
257,4,1
258,2,1
259,1,1
260,3,1
261,4,1
262,4,1
263,5,1
264,5,1
265,1,1
266,2,1
267,2,1
268,5,1
269,5,1
270,4,1
271,2,1
272,3,1
273,2,1
274,3,1
275,3,1
276,3,1
277,5,1
278,5,0
279,4,1
280,1,1
281,2,0
282,2,1
283,3,1
284,5,1
285,2,1
286,4,0
287,2,1
288,2,1
289,5,1
290,4,1
291,2,1
292,4,1
293,4,1
294,2,0
295,2,1
296,3,1
297,3,1
298,1,1
299,5,1
300,4,1
301,3,1
302,1,1
303,2,1
304,1,1
305,5,1
306,1,1
307,1,1
308,4,1
309,5,1
310,2,1
311,5,1
312,5,1
313,2,0
314,2,1
315,3,1
316,4,0
317,3,0
318,2,1
319,3,1
320,2,1
321,4,0
322,3,1
323,3,0
324,1,1
325,3,1
326,1,1
327,2,1
328,1,0
329,3,1
330,2,1
331,2,1
332,1,1
333,3,1
334,5,1
335,2,1
336,3,1
337,3,1
338,2,1
339,5,1
340,2,1
341,1,1
342,2,1
343,5,1
344,4,1
345,5,1
346,1,1
347,5,1
348,1,1
349,4,1
350,5,1
351,5,0
352,4,1
353,4,0
354,3,0
355,1,1
356,4,1
357,2,1
358,5,0
359,2,1
360,4,1
361,4,0
362,2,1
363,1,0
364,2,1
365,1,0
366,3,1
367,4,0
368,3,1
369,3,1
370,1,0
371,4,1
372,4,1
373,1,1
374,2,0
375,3,0
376,3,1
377,4,1
378,2,0
379,5,0
380,1,0
381,4,0
382,4,0
383,2,0
384,2,0
385,3,0
386,5,0
387,3,1
388,2,0
389,4,0
390,3,0
391,2,0
392,1,0
393,5,0
394,5,1
395,1,0
396,1,0
397,3,1
398,1,1
399,1,1
400,2,1
401,4,1
402,3,0
